date,open,high,low,close,volume
2022-02-22,198.48,200.45,195.35,196.66,31847129
2022-02-23,198.24,198.9,192.55,192.98,31491521
2022-02-24,188.32,198.48,187.92,198.04,52221072
2022-02-25,198.69,202.62,197,202.5,33656151
2022-02-28,200.47,204.6,200.46,203.32,34975853
2022-03-01,202.66,203.79,197.8,199.49,40638906
2022-03-02,200.84,205.3,200.69,204.24,29978551
2022-03-03,205.09,205.11,200.29,201.82,30142659
2022-03-04,199.7,200.86,196.98,198.66,31657741
2022-03-07,199.22,199.585,193.68,193.72,39279830
2022-03-08,194.34,199.57,193.46,194.79,45715788
2022-03-09,198.22,201,197.62,200.28,29048016
2022-03-10,197.41,200.04,196.56,199.92,25660992
2022-03-11,200.78,201.76,196.44,196.73,24990029
2022-03-14,197.24,197.44,191.88,192.71,34969461
2022-03-15,193.46,195.79,192.88,195.78,25464343
2022-03-16,197.54,201.94,196.15,201.94,31869726
2022-03-17,200.77,205.21,200.3,205.11,25783098
2022-03-18,204.21,207.45,204,207.27,37092178
2022-03-21,207.2,208.18,203.935,205.44,26747523
2022-03-22,206.31,208.79,205.8,207.5,24699895
2022-03-23,206.15,207.2,203.75,203.9,19774978
2022-03-24,204.38,205.9,202.73,205.84,19781210
2022-03-25,206.09,206.62,204.44,206.12,19430366
2022-03-28,205.6,206.21,203.03,206.19,18999130
2022-03-29,208,212.25,207.88,211.71,29550571
2022-03-30,211.37,211.74,206.61,207.46,26251502
2022-03-31,207.13,208.91,205.15,205.27,26771581
2022-04-01,206.18,207.72,205.01,207.57,25948508
2022-04-04,207.87,208.43,205.88,207.91,20333898
2022-04-05,207.96,209.435,202.51,202.99,26509793
2022-04-06,201.27,201.8,198.68,200.11,34903891
2022-04-07,200.11,201.23,196.68,199.46,29291244
2022-04-08,199.22,200.31,197.5,197.87,25249579
2022-04-11,197.12,199.2549,195.88,196.54,33702313
2022-04-12,198.7,201.68,196.42,197.16,33699784
2022-04-13,197.68,201.45,197.61,200.91,22303590
2022-04-14,201.11,202.37,198.87,198.96,27106953
2022-04-18,198.46,199.18,196.53,197.62,22246351
2022-04-19,197.86,202.235,197.69,201.56,22786685
2022-04-20,203.05,203.87,201.86,202.33,20516175
2022-04-21,204.23,204.8,197.02,197.8,31547675
2022-04-22,196.87,197.37,192.29,192.68,35686941
2022-04-25,190.99,194.11,189.21,193.85,35556526
2022-04-26,192.32,192.71,187.48,187.74,40513592
2022-04-27,187.67,189.78,186.26,186.96,37807971
2022-04-28,189.17,191.4,184.71,190.45,37405185
2022-04-29,189.59,191.73,184.51,184.95,41193373
2022-05-02,184.9,187.82,182.38,186.89,38002089
2022-05-03,186.92,189.5099,185.68,188.49,30246266
2022-05-04,189.05,193.93,185.6932,193.52,38834742
2022-05-05,191.53,191.56,183.38,185.67,41468705
2022-05-06,184.96,185.42,180.55,182.58,45457873
2022-05-09,179.86,182.6534,174.1,174.9,53682210
2022-05-10,177.57,178.905,171.2,174.95,53650814
2022-05-11,175.13,178.19,170.3,170.6,64377822
2022-05-12,169.83,174.34,168.9,172.6,52967378
2022-05-13,175.04,179.41,175.01,178.07,36517011
2022-05-16,177.5,179.44,176.135,177.22,28225461
2022-05-17,180.41,182.84,178.99,182.64,31833733
2022-05-18,180.47,181.41,175.1,176.24,36093763
2022-05-19,174.89,178.81,174.89,176.53,33627736
2022-05-20,178.5,178.97,171.79,176.08,42243686
2022-05-23,177.88,178.96,175.5,178.21,24644132
2022-05-24,176.57,176.93,172.33,175.57,26861782
2022-05-25,174.88,179.78,174.81,178.73,27950056
2022-05-26,179.85,183.795,179.7,182.72,25702704
2022-05-27,183.76,187.65,183.4,187.64,24952062
2022-05-31,186.91,187.6765,184.09,185.31,29794499
2022-06-01,186.27,186.94,181.77,184.26,28352136
2022-06-02,184.59,188.76,184.17,188.76,24875960
2022-06-03,187.29,187.96,185.79,187.06,18972140
2022-06-06,189.29,189.305,186.83,187.87,24678747
2022-06-07,186.41,190.94,185.9,190.9,21661588
2022-06-08,189.96,190.7,187.06,187.95,21521727
2022-06-09,186.55,187.07,183.53,183.57,21697229
2022-06-10,180.51,181.55,177.65,178.59,37153558
2022-06-13,173.63,174.96,169.29,170.2,39712710
2022-06-14,170.67,171.24,167.74,169.38,30282434
2022-06-15,171.21,174.06,168.66,171.86,32150529
2022-06-16,167.84,168.42,162.78,163.9,43810559
2022-06-17,164.48,167.52,163.7,165.18,40327271
2022-06-21,167.98,170.08,166.81,168.14,34665447
2022-06-22,165.96,169.255,165.37,167.82,29303486
2022-06-23,168.19,170.23,166.55,169.83,27089785
2022-06-24,171.22,175.1,170.9,175.09,37138454
2022-06-27,175.67,176.99,174.18,175.74,24745414
2022-06-28,176.93,178.15,172.35,172.44,25958302
2022-06-29,172.55,172.7,168.97,170.69,21292488
2022-06-30,168.2,171.31,166.76,169.36,31466339
2022-07-01,169.05,171.84,167.66,171.41,24598625
2022-07-05,168.68,172.9,166.73,172.83,25151145
2022-07-06,172.45,173.71,169.75,171.55,25697551
2022-07-07,172.86,175.98,172.85,175.61,24822531
2022-07-08,175.07,176.99,173.65,175.59,20546955
2022-07-11,174.26,174.97,171.6,172.06,22031451
2022-07-12,171.54,173.36,170.56,171.47,23864192
2022-07-13,169.15,172.275,168.79,171.32,25535614
2022-07-14,168.68,170,167.02,169.56,25102172
2022-07-15,171.54,173.345,169.31,173.09,34935913
2022-07-18,175.13,176.2893,172.06,172.6,23031546
2022-07-19,174.75,178.89,174.66,178.69,24234559
2022-07-20,178.65,181.81,178.4,181.49,26049312
2022-07-21,180.45,182.5,178.845,182.42,21709855
2022-07-22,182.88,183.25,178.05,179.51,25116096
2022-07-25,180.05,180.92,178.43,180.44,19267156
2022-07-26,179.78,180.21,178.54,179.33,19391214
2022-07-27,180.48,184.25,180,183.41,21670690
2022-07-28,184.32,186.14,181.76,185.93,22838529
2022-07-29,186.04,187.73,185.04,187.25,21760641
2022-08-01,185.79,188.32,184.22,187.18,23905554
2022-08-02,186.47,189.02,185.48,187,17492574
2022-08-03,188.3,190.15,187.64,189.75,19157749
2022-08-04,189.84,190.04,188.44,189.35,14838914
2022-08-05,187.47,191.02,187.1703,190.8,18540323
2022-08-08,192.15,194.625,191.89,192.82,22234911
2022-08-09,192.04,192.17,189.16,190.19,18247296
2022-08-10,193.63,195.95,193.11,195.62,20796377
2022-08-11,197.42,199.53,196.04,196.35,23727554
2022-08-12,197.35,200.43,196.58,200.36,21726589
2022-08-15,198.795,201.155,198.22,201.07,17414800
2022-08-16,200.5,201.99,199.025,200.99,18833104
2022-08-17,198.72,199.33,196.38,197.61,22427990
2022-08-18,197.88,199.25,196.9,198.92,18368053
2022-08-19,196.83,197.11,194.0707,194.65,27416393
2022-08-22,191.99,192.35,190.01,190.64,22937015
2022-08-23,190.94,192.93,190.39,190.95,20069836
2022-08-24,190.79,193.3,190.16,192.41,16038273
2022-08-25,193.38,195.45,192.98,195.4,14794953
2022-08-26,195.34,195.44,188.66,188.98,24177218
2022-08-29,186.95,188.99,186.52,187.24,19753269
